svc_induty_cd,svc_induty_cd_nm,industry_category
# OA-15572 서비스 업종 코드 → 대분류 (food / service / retail).
# 출처: OA-15572 VwsmTrdarSelngQq 2024Q4 실데이터의 distinct 업종코드 62종.
# 규칙: CS1=외식(food), CS2=서비스(service), CS3=소매(retail). 재생성: backend/scripts/build_maps.py
CS100001,한식음식점,food
CS100002,중식음식점,food
CS100003,일식음식점,food
CS100004,양식음식점,food
CS100005,제과점,food
CS100006,패스트푸드점,food
CS100007,치킨전문점,food
CS100008,분식전문점,food
CS100009,호프-간이주점,food
CS100010,커피-음료,food
CS200001,일반교습학원,service
CS200002,외국어학원,service
CS200003,예술학원,service
CS200005,스포츠 강습,service
CS200006,일반의원,service
CS200007,치과의원,service
CS200008,한의원,service
CS200016,당구장,service
CS200017,골프연습장,service
CS200019,PC방,service
CS200024,스포츠클럽,service
CS200025,자동차수리,service
CS200026,자동차미용,service
CS200028,미용실,service
CS200029,네일숍,service
CS200030,피부관리실,service
CS200031,세탁소,service
CS200032,가전제품수리,service
CS200033,부동산중개업,service
CS200034,여관,service
CS200037,노래방,service
CS300001,슈퍼마켓,retail
CS300002,편의점,retail
CS300003,컴퓨터및주변장치판매,retail
CS300004,핸드폰,retail
CS300006,미곡판매,retail
CS300007,육류판매,retail
CS300008,수산물판매,retail
CS300009,청과상,retail
CS300010,반찬가게,retail
CS300011,일반의류,retail
CS300014,신발,retail
CS300015,가방,retail
CS300016,안경,retail
CS300017,시계및귀금속,retail
CS300018,의약품,retail
CS300019,의료기기,retail
CS300020,서적,retail
CS300021,문구,retail
CS300022,화장품,retail
CS300024,운동/경기용품,retail
CS300025,자전거 및 기타운송장비,retail
CS300026,완구,retail
CS300027,섬유제품,retail
CS300028,화초,retail
CS300029,애완동물,retail
CS300031,가구,retail
CS300032,가전제품,retail
CS300033,철물점,retail
CS300035,인테리어,retail
CS300036,조명용품,retail
CS300043,전자상거래업,retail
